,id,img,label,text,pred_az_value
0,8291,./data/img/08291.png,1,white people is this a shooting range,0.45264932513237
1,46971,./data/img/46971.png,1,bravery at its finest,0.08763543516397476
2,3745,./data/img/03745.png,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,0.32185935974121094
3,83745,./data/img/83745.png,1,it is time.. to send these parasites back to the desert,0.08729425072669983
4,80243,./data/img/80243.png,1,mississippi wind chime,0.1267208456993103
5,5279,./data/img/05279.png,1,"knowing white people , that's probably the baby father",0.4832412600517273
6,1796,./data/img/01796.png,1,life hack #23 how to get stoned with no weed,0.9879999756813049
7,53046,./data/img/53046.png,1,"you've heard of elf on a shelf, now get ready for",0.1320144683122635
8,82301,./data/img/82301.png,1,cooooooooooooon!!!!,0.9879999756813049
9,31752,./data/img/31752.png,1,when you get to choose your own mental illness,0.3840641379356384
10,27635,./data/img/27635.png,1,dat ass ahmarbkrich*d,0.9879999756813049
11,80597,./data/img/80597.png,1,look! it says it right here! we can fuck goats!,0.9879999756813049
12,45368,./data/img/45368.png,1,enough is enough children are more important than freaks,0.32474297285079956
13,17963,./data/img/17963.png,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,0.7372840642929077
14,53968,./data/img/53968.png,1,when you have an 80 point iq but it's the highest in your village,0.19925633072853088
15,10749,./data/img/10749.png,1,my sense of humor is so dark it picks cotton,0.14955343306064606
16,25149,./data/img/25149.png,1,if this offends you you might be lack toes intolerant,0.9879999756813049
17,87520,./data/img/87520.png,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!",0.5791447758674622
18,89071,./data/img/89071.png,1,they don't wash their ass with water and they eat their daughters' ass,0.9879999756813049
19,9563,./data/img/09563.png,1,safe sex isis style,0.9879999756813049
20,72048,./data/img/72048.png,1,hurry up barack will be home soon,0.1875128298997879
21,49826,./data/img/49826.png,1,white people on cinco de mayo vs. every other day,0.20827721059322357
22,26453,./data/img/26453.png,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath",0.403109073638916
23,12650,./data/img/12650.png,1,which one has tranny problems?,0.4505690038204193
24,2568,./data/img/02568.png,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,0.9879999756813049
25,83954,./data/img/83954.png,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,0.11895367503166199
26,24316,./data/img/24316.png,1,sharks don't attack him why? they think it's whale shit,0.7646014094352722
27,62035,./data/img/62035.png,1,thank god my ass needed a break,0.9879999756813049
28,65342,./data/img/65342.png,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""",0.31817853450775146
29,92058,./data/img/92058.png,1,how black people became christians,0.4979010224342346
30,58672,./data/img/58672.png,1,did you know that the chinese eat dogs savages disgusting,0.9879999756813049
31,54069,./data/img/54069.png,1,when you decide to go full gas,0.09372469782829285
32,91586,./data/img/91586.png,1,left the kitchen too many times,0.09144429117441177
33,87130,./data/img/87130.png,1,finally finding the right tutorial you need indian accent,0.07476278394460678
34,95640,./data/img/95640.png,1,syrian rape survivor speaks out,0.24866627156734467
