,id,img,label,pred_da_value
0,8291,./data/img/08291.png,1,0
1,46971,./data/img/46971.png,1,0
2,3745,./data/img/03745.png,1,0
3,83745,./data/img/83745.png,1,0
4,80243,./data/img/80243.png,1,0
5,5279,./data/img/05279.png,1,0
6,1796,./data/img/01796.png,1,0
7,53046,./data/img/53046.png,1,0
8,82301,./data/img/82301.png,1,0
9,31752,./data/img/31752.png,1,0
10,27635,./data/img/27635.png,1,0
11,80597,./data/img/80597.png,1,0
12,45368,./data/img/45368.png,1,0
13,17963,./data/img/17963.png,1,0
14,53968,./data/img/53968.png,1,0
15,10749,./data/img/10749.png,1,0
16,25149,./data/img/25149.png,1,0
17,87520,./data/img/87520.png,1,0
18,89071,./data/img/89071.png,1,0
19,9563,./data/img/09563.png,1,0
20,72048,./data/img/72048.png,1,0
21,49826,./data/img/49826.png,1,0
22,26453,./data/img/26453.png,1,0
23,12650,./data/img/12650.png,1,4
24,2568,./data/img/02568.png,1,0
25,83954,./data/img/83954.png,1,0
26,24316,./data/img/24316.png,1,0
27,62035,./data/img/62035.png,1,0
28,65342,./data/img/65342.png,1,0
29,92058,./data/img/92058.png,1,0
30,58672,./data/img/58672.png,1,0
31,54069,./data/img/54069.png,1,0
32,91586,./data/img/91586.png,1,0
33,87130,./data/img/87130.png,1,0
34,95640,./data/img/95640.png,1,0
35,47819,./data/img/47819.png,1,0
36,59140,./data/img/59140.png,1,0
37,13647,./data/img/13647.png,1,0
38,65832,./data/img/65832.png,1,0
39,57621,./data/img/57621.png,1,0
40,40982,./data/img/40982.png,1,0
41,43275,./data/img/43275.png,1,0
42,12973,./data/img/12973.png,1,0
43,74350,./data/img/74350.png,1,0
44,2478,./data/img/02478.png,1,0
45,51607,./data/img/51607.png,1,0
46,65403,./data/img/65403.png,1,0
47,29750,./data/img/29750.png,1,0
48,26547,./data/img/26547.png,1,0
49,2143,./data/img/02143.png,1,0
50,68192,./data/img/68192.png,1,1
51,52603,./data/img/52603.png,1,0
52,5349,./data/img/05349.png,0,0
53,6491,./data/img/06491.png,1,0
54,74013,./data/img/74013.png,1,0
55,27485,./data/img/27485.png,1,0
56,13026,./data/img/13026.png,1,0
57,17265,./data/img/17265.png,0,0
58,91405,./data/img/91405.png,0,0
59,14026,./data/img/14026.png,1,0
60,18945,./data/img/18945.png,1,0
61,83920,./data/img/83920.png,1,0
62,83497,./data/img/83497.png,0,0
63,4569,./data/img/04569.png,0,0
64,39607,./data/img/39607.png,1,0
65,9715,./data/img/09715.png,1,0
66,1925,./data/img/01925.png,1,0
67,94813,./data/img/94813.png,0,0
68,29437,./data/img/29437.png,1,0
69,95038,./data/img/95038.png,0,0
70,64891,./data/img/64891.png,1,0
71,63280,./data/img/63280.png,1,0
72,17682,./data/img/17682.png,1,1
73,84510,./data/img/84510.png,1,0
74,28690,./data/img/28690.png,0,0
75,3567,./data/img/03567.png,1,0
76,95830,./data/img/95830.png,1,0
77,29873,./data/img/29873.png,1,0
78,70953,./data/img/70953.png,1,0
79,56124,./data/img/56124.png,0,0
80,10386,./data/img/10386.png,1,0
81,19530,./data/img/19530.png,1,1
82,94185,./data/img/94185.png,1,1
83,48370,./data/img/48370.png,1,0
84,74058,./data/img/74058.png,0,0
85,45062,./data/img/45062.png,0,0
86,94170,./data/img/94170.png,0,0
87,4538,./data/img/04538.png,0,0
88,83946,./data/img/83946.png,1,0
89,68127,./data/img/68127.png,0,0
90,97453,./data/img/97453.png,0,0
91,39578,./data/img/39578.png,1,0
92,49360,./data/img/49360.png,0,0
93,87034,./data/img/87034.png,0,0
94,6123,./data/img/06123.png,1,0
95,17028,./data/img/17028.png,1,0
96,42903,./data/img/42903.png,0,0
97,71680,./data/img/71680.png,1,0
98,24135,./data/img/24135.png,0,0
99,32875,./data/img/32875.png,0,1
100,79085,./data/img/79085.png,1,0
